Id,name,latitude,longitude,altitude(ft),utm_easting,utm_northing,demographic_score,traffic_volume,infra_score
71,Blue Sky,9.006772932,38.798376391,7664.4,477839.1,995607.1,35,40,11.0
72,Sidra International,9.013504296,38.796240697,7728.3,477604.8,996351.4,35,45,10.0
73,Meklit Building,9.016087847,38.790867211,7744.1,477014.3,996637.4,40,40,10.0
74,Luxury Car shop,9.017079827,38.787762366,7745.1,476673.2,996747.2,30,40,8.0
75,Kenenisa Ave,9.021271106,38.790592159,7785.1,476984.4,997210.4,40,100,15.0
76,Togo St,9.019964432,38.786413271,7780.5,476525.1,997066.3,30,100,11.0
77,Rouge Gaming Station,9.023912789,38.786126086,7836.9,476493.8,997502.8,30,120,10.0
78,Megenagna/Shola market,9.02248217,38.794612516,7836.0,477426.4,997344.1,25,200,32.0
79,Megenagna taxi station,9.020339583,38.802271416,7831.7,478268.0,997106.7,40,350,11.0
80,Yerka Park,9.028436773,38.804391523,8083.7,478501.5,998001.8,55,40,12.0
81,Arsho Bole bulbula,9.028888994,38.798692361,7988.8,477875.2,998052.2,20,50,23.0
82,La mandoline resturant,9.02841457,38.78737328,7933.7,476631.1,998000.4,20,45,6.0
83,British Embassy,9.02970454,38.788700497,7967.2,476777.1,998143.0,30,30,10.0
84,Koye Feche,8.90019067,38.816272884,7177.5,479800.3,983822.6,50,48,13.0
85,Zoma Museum,8.987759834,38.729150481,7559.4,470228.7,993509.9,30,200,28.0
86,Lideta,9.00699687,38.726261601,7691.9,469912.8,995637.0,30,250,31.0
87,Kolfe Keranio,9.012457528,38.700905202,7715.2,467126.3,996242.9,35,70,23.0
88,Kolfe,9.026483315,38.703613162,7922.6,467425.2,997793.3,30,100,20.0
89,Ayer Tena,8.994830269,38.692443425,7820.9,466194.6,994294.8,35,200,39.0
90,Nefas Silk,8.957418161,38.72035946,7316.9,469259.9,990156.1,40,130,27.0
91,Jemo,8.957730629,38.711487819,7337.6,468284.7,990191.4,40,200,29.0
92,China Embassy,9.010271798,38.713790132,7709.0,468542.3,996000.1,45,250,12.0
93,Alem Bank Sq,9.001857943,38.680039524,7985.6,464831.9,995073.0,25,40,13.0
94,Amanuel Mental Hospital,9.029310908,38.72443822,7999.7,469714.2,998104.1,35,50,7.0
95,Winget,9.057738655,38.716859565,8329.7,468883.7,1001247.7,30,100,19.0
96,Asko,9.067097286,38.695090167,8456.4,466492.2,1002284.3,35,120,26.0
97,Sansusi,9.071886254,38.686448066,8456.4,465542.9,1002814.6,30,100,14.0
98,Ethio Tebib,9.038182599,38.715856546,8025.6,468771.8,999085.7,30,100,17.0
99,Entoto Park,9.083630399,38.765753444,9211.0,474258.9,1004106.4,55,50,3.0
100,My furniture,9.010635134,38.863369817,7715.9,484982.9,996030.8,20,35,10.0
101,Semit,9.001627764,38.868053482,7686.4,485497.3,995034.8,25,100,17.0
102,Chefie Condominium,9.012813822,38.882882544,7825.8,487127.6,996270.9,40,80,16.0
103,Cheffie,9.003102076,38.890458361,7841.2,487959.9,995196.9,45,100,23.0
